Mark Haddon, The Curious Incident of the Dog in the Night-Time|... why I like timetables, because they make sure I don't get lost in time.
Douglas Adams, Life, the Universe and Everything|Just believe everything I tell you, and it will all be very, very simple.""Ah, well, I'm not sure I believe that.
Derek Landy, Skulduggery Pleasant|I'm placing you under arrest for murder, conspiracy to commit murder and, I don't know, possibly littering.
J.K. Rowling, Harry Potter and the Sorcerer's Stone|Welcome to a new year at Hogwarts! Before we begin our banquet, I would like to say a few words. And here they are: Nitwit! Blubber! Oddment! Tweak!
Ilona Andrews, Curran|She crouched with her hand out. What the hell was she doing… "Here, kitty, kitty, kitty." Oh my God, she was retarded and I was going to kill Jim.
Jeaniene Frost, Halfway to the Grave|Is that a stake, Bones, or are you just happy with my new dress?”“In this case, it’s a stake. You could always feel around for something more, though. See what comes up.
Cassandra Clare, Clockwork Angel|Jem gave her a wistful look. “Must you go? I was rather hoping that you’d stay and be a ministering angel, but if you must go, you must.”	“I’ll stay,” Will said a bit crossly, and threw himself down in the armchair Tessa had just vacated. “I can minister angelically.”	“None too convincingly. And you’re not as pretty to look at as Tessa is,” Jem said, closing his eyes as he leaned back against the pillow.	“How rude. Many who have gazed upon me have compared it to gazing at the radiance of the sun.”	Jem still had his eyes closed. “If they mean that it gives you a headache, they aren’t wrong.
Claudia Gray, Evernight|Self-knowledge is better than self-control any day," Raquel said firmly. "And I know myself well enough to know how I act around cookies.
Rick Riordan, The Sea of Monsters|Tantalus made a wild grab, but the marshmallow committed suicide, diving into the flames.
John Green, Looking for Alaska|There are times when it is appropriate, even preferable, to get an erection when someone's face is in close proximity to your penis.This was not one of those times.
Maggie Stiefvater, The Dream Thieves|Ronan's bedroom door burst open. Hanging on the door frame, Ronan leaned out to peer past Gansey. He was doing that thing where he looked like both the dangerous Ronan he was now and the cheerier Ronan he had been when Gansey first met him."Hold on," Gansey told Adam. Then, to Ronan: "Why would he be?""No reason. Just no reason." Ronan slammed his door.Gansey asked Adam, "Sorry. You still have that suit for the party?"Adam's response was buried in the sound of the second-story door falling open. Noah slouched in. In a wounded tone, he said, "He threw me out the window!"Ronan's voice sang out from behind his closed door: "You're already dead!
Becky Albertalli, Simon vs. the Homo Sapiens Agenda|What's a dementor?"I mean, I can't even. "Nora, you are no longer my sister.""So it's some Harry Potter thing," she says.
Laurell K. Hamilton, Incubus Dreams|Zebrowski says that if you killed someone else just hide the body, he's not starting over on the paperwork.
Lisi Harrison, The Clique|Are you a female dog?""What?" Massie asked. 
Sherrilyn Kenyon, Infinity|Well, someone slap my butt and give me a hero cookie. (Nick)
Amy Poehler, Yes Please|However, if you do start crying in an argument and someone asks why, you can always say, "I'm just crying because of how wrong you are.
J.K. Rowling, Harry Potter and the Deathly Hallows|IF WE DIE FOR THEM, I'LL KILL YOU, HARRY!
Scott Westerfeld, Uglies|You're insane!" she shouted."Pretty cool, huh?""No!"Tally yelled. "Why didn't you tell me it was broken?"Shay shrugged. "More fun that way?""More fun?" Her heart beating fast,her vision strangely clear. She was full of anger and relief and...joy."Well, kind of. But you suck!
Jeaniene Frost, One Foot in the Grave|Juan gave Bones the most admiring look he’d bestowed on him yet. “You talked her into going without panties all these years? Madre de Dios, now that’s impressive. I could learn a great deal from you, amigo.
Tahereh Mafi, Ignite Me|So that's it?" Kenji says. "You just like him for his personality, huh?""What?""All of this," Kenji says, waving a hand in the air, "has nothing to do with him being all sexy and shit and him being able to touch you all the time?""You think Warner is sexy?""That is not what I said.
Cassandra Clare|Magnus raised his hands above his head and clapped once. The room flooded with light. "You see? You think that would be possible without magic? "Actually," replied Simon, "It is. If you watched infomercials you'd know that.
J.K. Rowling, Harry Potter and the Half-Blood Prince|Oh, there you are, Albus,' he said. 'You've been a very long time. Upset stomach?''No, I was merely reading the Muggle magazines,' said Dumbledore. 'I do love knitting patterns.
Isaac Marion, Warm Bodies|My friend "M" says the irony of being a zombie is that everything is funny, but you can't smile, because your lips have rotted off.
Sarah J. Maas, A Court of Thorns and Roses|Would you like me to grovel with gratitude for bringing me here, High Lord?""Ah. The Suriel told you nothing important, did it?"That smile of his sparked something bold in my chest. "He also said that you liked being brushed, and if I'm a clever girl, I might train you with treats."Tamlin tipped his head to the sky and roared with laughter. Despite myself, I let out a quiet laugh. "I might die of surprise," Lucien said behind me. "You made a joke, Feyre."I turned to look at him with a cool smile. "You don't want to know what the Suriel said about you." I flicked my brows up, and Lucien lifted his hands in defeat."I'd pay good money to hear what the Suriel thinks of Lucien," Tamlin said.A cork popped, followed by the sounds of Lucien chugging the bottle's contents and chuckling with a muttered, "Brushed.
