Catherine Deneuve|People who know me know I'm strong, but I'm vulnerable.
Vironika Tugaleva|There’s all this pressure in our society to be beautiful, to be strong, to be sexy. So we spend our time and money on trying to become these things. We put on the high heels, the suits, the makeup, the mask. Then, we feel more awkward than confident, so we drink away our anxieties. That doesn’t make us look any sexier – it just makes us stop caring about how we look.Everyone is beautiful. Everyone is sexy. Everyone is strong. It’s lunacy. We’re all running around trying to become something that we already are.You know what’s really sexy? A person who’s 100% comfortable with themselves. And you know what’s really funny? It is just as time consuming and difficult to learn to accept yourself as it is to pretend to be someone else. The only difference is – with self acceptance, one day, it’s not hard anymore. One day, you feel like your sexiest, strongest self just rolling out of bed in the morning.You’re either going to spend the little time you have in your life on trying to know yourself or trying to hide yourself. The choice is yours. You can’t do both.And you know what’s really amazing about choosing self-love? You’ll be setting an example for all the people around you and all the kids of the coming generation. You’ll be part of a revolution to take back the precious moments of our lives out of the hands of shame-inducing advertisers and back into the hands and hearts of real people like you, like me, like all of us.I know you’ve dreamt about changing the world. So this is your chance. Learn to love yourself, accept yourself, and unleash your strongest, sexiest self. It’s in there. You just have to believe it.
Todd Smidt|I believe that life is all about perception and timing. That good things come to those who act and that life’s about more than collecting a paycheck. I believe that the only person you’re destined to become is the one that you decide to be. That if you try hard enough you can convince yourself of anything. That having patience doesn’t make you a hero nor does it make you a doormat. I believe that not showing love proves you’re weak and belittling others doesn’t make you strong. That you are never as far away from people as the miles may suggest. That life’s too short to read awful books, listen to terrible music, or be around uninspiring people. I believe that where you start has little impact on where you finish. That sometimes the best thing you can do is walk away. That you can never be overdressed or overeducated. I believe that the cure for anything is salt water; sweat, tears, or the sea. That you should never let your memories be greater than your dreams. And that you should always choose adventure.
A.J. Darkholme, Rise of the Morningstar|It’s true what they say, that words are the true weapons. Those who fight with steel are limited to the strength of their arm, the reach of their blade, and the timing of their strike; but those who fight with persuasion know no limits – not time, nor status, nor chance.
Donna Lynn Hope|Only strong women, and they seem to be rare, can handle a frank and direct woman who doesn't sweet-talk or need others to nerve her. You can identify the easily intimidated because they need a gaggle of like-minded clones to back them up when they feign offense, which is merely a guise for their insecurity.
Michael Bassey Johnson|The vacancy in your heart doesn't connotes that nobody is seeking for the job of servicing your feelings, but because the employee must first have all the necessary credentials needed for the job.
Suzanne Collins, Mockingjay|We're victors, remember? We're the ones who can survive anything they throw at us
A.J. Darkholme, Rise of the Morningstar|Never overestimate the strength of the torchbearer's arm, for even the strongest arms grow weary.
A.J. Darkholme, Rise of the Morningstar|Sic vis pacem para bellum - if you want peace, prepare for war.
Dietrich Bonhoeffer|Is the invisible presence of the Christian fellowship a reality and a help to the individual? Is the Word of God close to him as a comfort and a strength? Or does he misuse his aloneness contrary to the fellowship, the Word, and the prayer? The individual must realize that his hours of aloneness react upon the community. In his solitude he can sunder and besmirch the fellowship, or he can strengthen and hallow it. Every act of self-control of the Christian is also a service to the fellowship. One who returns to the Christian family fellowship after fighting the battle of the day brings with him the blessing of his aloneness, but he himself receives anew the blessing of the fellowship. Blessed is he who is alone in the strength of the fellowship and blessed is he who keeps the fellowship in the strength of aloneness. But the strength of aloneness and the strength of the fellowship is solely the strength of the Word of God, which is addressed to the individual in the fellowship.
Chris Stewart|But Ana, how could I have been such a lousy judge of character?" I groaned."Because you don't much care to judge people's characters," she answered after a moment's thought. "It's a strength, you know, as well as weakness."It was small consolation.
Igjugarjuk|The only true wisdom lives far from mankind, out in the great loneliness, and it can be reached only through suffering. Privation and suffering alone can open the mind of man to all that is hidden to others.
Thomas Paine, Common Sense|It is not in numbers, but in unity, that our great strength lies.
J. Sheridan Le Fanu, Carmilla|Although I felt very weak, I did not feel ill; and strength, one always fancies, is a thing that may be picked up when we please.
Melissa Marr, Ink Exchange|Getting ink felt right, like it would help her put her life in order, to move forwards. It was her body, despite the things that'd been done to it, and she wanted to claim it, to own it, to prove that to herself. She knew it wasn't magic, but the idea of writing her own identity felt like the closest she could get to reclaiming her life. Sometimes there's power in the act; sometimes there's strength in words. She wanted to find an image that represented those things she was feeling, to etch it on her skin as tangible proof of her decision to change.
Julie Andrews Edwards, The Last of the Really Great Whangdoodles|If you remain calm in the midst of great chaos, it is the surest guarantee that it will eventually subside.
