Unknown Author 365|If you actually want something and are really passionate about it, you will get it no matter what.
John Piper, Don't Waste Your Life|All that looks like reality to us is dependent on God. There is creation and Creator, nothing more. And creation gets all its meaning and purpose from God.
William James, The Correspondence of William James: 1885-1889|Why may we not be in the universe, as our dogs and cats are in our drawingrooms and libraries?
Micah Amyx|You can take a dog outside, but you can't make it pee
Laura Wiess, Such a Pretty Girl|What's the point of obsessing over cholesterol or bike helmets or even cigarettes when the biggest threats to our children are being released back into society every day? Yes, maybe 'some' of them have reformed, but what about the ones who haven't? Doesn't anyone realize that one 'touch', one 'time' will destroy a child's life ten times faster than a pack-a-day habit?
Alan W. Watts|The art of meditation is a way of getting into touch with reality, and the reason for it is that most civilized people are out of touch with reality because they confuse the world as it with the world as they think about it and talk about it and describe it. For on the one hand there is the real world and on the other there is a whole system of symbols about that world which we have in our minds. These are very very useful symbols, all civilization depends on them, but like all good things they have their disadvantages, and the principle disadvantage of symbols is that we confuse them with reality, just as we confuse money with actual wealth.
Mark Twain, The Mysterious Stranger|Nothing exists; all is a dream. God—man—the world—the sun, the moon, the wilderness of stars—a dream, all a dream; they have no existence. Nothing exists save empty space—and you!
Eugène Ionesco|The light of memory, or rather the light that memory lends to things, is the palest light of all. I am not quite sure whether I am dreaming or remembering, whether I have lived my life or dreamed it. Just as dreams do, memory makes me profoundly aware of the unreality, the evanescence of the world, a fleeting image in the moving water.
Dag Hammarskjöld, Markings|The dizziness in the face of les espaces infinis--only overcome if we dare to gaze into them without any protection. And accept them as the reality before which we must justify our existence. For this is the truth we must reach to live, that everything is and we just in it.
Machado de Assis|I considered the case and realized that if something can exist in opinion without existing in reality, or exist in reality without existing in opinion, the conclusion is that of the two parallel lives, only opinion is necessary – not reality, which is only a secondary consideration.
Benjamin R.  Smith, Atlas|Human’s aren’t concerned with reality, merely their perceptions of it.
Carlos Fuentes, Myself with Others: Selected Essays|Robinson Crusoe, the first capitalist hero, is a self-made man who accepts objective reality and then fashions it to his needs through the work ethic, common sense, resilience, technology, and, if need be, racism and imperialism.
Philip K. Dick, VALIS|Basically, Sherri's idea had to do with bringing Fat's mind down from the cosmic and the abstract to the particular. She had hatched out the practical notion that nothing is more real than a large World War Two Soviet tank.
Justin Scott, The Shipkiller|You can do everything right, strictly according to procedure, on the ocean, and it'll still kill you, but if you're a good navigator, at least you'll know where you were when you died.(In "The Nautical Chart" by Arturo Perez-Reverte)
