Genereux Philip|GOD IS MY PROVIDER I BRAG DIFFERENT, THROUGH HIM ALL THINGS ARE POSSIBLE.
Ernest Agyemang Yeboah|Mind your mind, mind your time and mind your life! Life is just once and the real certainty or uncertainty that can make you lose it is always uncertain; until you understand this well, you shall never neither understand how well to live your life each moment of time and leave indelible footprints, big or small, that shall please God nor shall you ever know how well to live and leave noble and indelible footprints worth not just talking about, but emulating. Mind your mind, mind your time and mind your life!
Elise Kova, Crystal Crowned|You won’t ever have everyone love you, just as you won’t have everyone hate you. find the right people to love you and return the hatred of others with ambivalence or hatred of your own.
TemitOpe Ibrahim|Don't worry about not doing "it" perfectly right now. It's ok, just keep at it, you will soon settle in it and then you'll be glad you didn't give up. All you need is to be sure that GOD's hand is in it.
Donna Goddard, The Love of Devotion|Life is energy and, as such, it belongs to all, reaches all, and blesses all.
Mehmet Murat ildan|If only you could fully grasp how valuable, how limited and how unique every moment of your life is, you would never stand as still as a statue even a single moment because action is real living!
Riki Jou|People don't die, they continue to live. As long as you remember who they are when they're still living. See? Now that you've think about it, you thought about those who passed away and see them moving in your memories. That's right. They're still alive as long as you live. They only die when you can't remember them, and when the time comes you're dead too. Memories are the the real people.
TemitOpe Ibrahim|The moment you begin to see yourself as GOD sees you, it gives you permission, authority and the audacity to become what you see through His eyes.
Vikash Shrivastava|If you want to do something in your life,share everything but never your ideas.
Patrick Ness, The Rest of Us Just Live Here|Not everyone has to be the chosen one. Not everyone has to be the guy who saves the world. Most people just have to live their lives the best they can, doing the things that are great from them, having great friends, trying to make their lives better, loving people probably. All the while knowing that the world makes no sense but trying to find a way to be happy anyways.
Robert Brault|If you cannot forgive and forget, pick one.
Daren Colbert|You wish you could’ve learned to play piano. You wish you could’ve started drawing when you were young. You wish you could’ve figured out who you wanted to be before you graduated college. You wish you could’ve learned to love yourself sooner. Well you know what? You didn’t. And that’s just something you’re going to have to learn to deal with. But just because you didn’t do it sooner, doesn’t mean you can’t start now.
Osama Sarwar|When there is faith, the world is balanced.
Aidan McNally, Two Sons Too Many|Accepting the facts is always tough, so we search for forgiveness to this universe everyday to break the shackles, hurt is a prison and I from a very young young age refused to be held prisoner or even conform.
Bobby F. Kimbrough Jr.|As I sit here in my favorite chair, I'm reminded of a story that my father shared with me when I was a young boy. He said that a chicken and a hog were having conversation about breakfast.The chicken was complaining because it must produce eggs for the farmer so that he can have eggs for breakfast, and the hog replied with tears in his eyes, that may be true, but I must give up my life so that he can have bacon.My question to you is, what has someone given you in order for you to eat, and what are you willing to give up so that someone else may eat at the table of life?
