Peter Ackroyd, The Canterbury Tales: A Retelling|Women, of their nature, crave for liberty; they will not be ordered around like servants.
Joyce Carol Oates, Foxfire: Confessions of a Girl Gang|Legs was always proud even before FOXFIRE, that’s the primary fact about Legs Sadovsky: pride.
Naomi Levy, To Begin Again: The Journey Toward Comfort, Strength, and Faith in Difficult Times|The women looked from one to the other, knowing what the men didn’t know. We knew the heartbeat and interior graces, compensation for our own clumsiness; the beatitude as we renounced our bodies, our noble little parasites the higher calling. We knew, without saying, the watery rollover, tremor, seismic shudders, the steadiness of the baby’s hiccups, the reliable stab from a kick to the kidney
Dave Sim|Women, he would say, are not Muses. Muses are Muses. To confuse one with the other is to mistake the Devouring Void for the Seminal Light. Earthly Women and the Muses are ancient, sworn enemies. The battlefield is the Creative Male. On the one side is the encampment of Discordia, of Diana, of Venus located in his Heart and in his Groin. On the other is the Bastion of Calliope, Clio, Erato, Euterpe, Melpomene, Polyhymnia, Terpsichore, Thalia and Urania, in his Brain and in his Mind. The Muses are tolerant and understanding of border raids, skirmishes, and harassing maneuvers. Throughout the history of the Male Light, there have been few painters, few writers, who have not had a She Who Must Be Accommodated. For some it was their mothers. For many their wives, their mistresses, their girlfriends. For many it was their daughters, a favourite waitress, a stripper, a whore. To the Muses, they are all one. Mother, whore, wife, daughter, stripper, waitress, mistress, girlfriend.
Christina Lauren, Sweet Filthy Boy|He closes the door with a determined click, and I hear him call to a flight attendant, and I sink down onto the toilet seat, resting my elbows on my knees and my head in my hands as I listen to him through the
Gloria Steinem, My Life on the Road|At first, feminists were assumed to be only discontented suburban housewives; then a small bunch of women's "libbers", bra burners, and radicals; then women on welfare; then briefcase carrying imitations of male executives; then unfulfilled women who forgot to have children; then women voters...that really could decide elections. That last was too dangerous, so suddenly we were told we were in a "postfeminist" age...
Graham Greene, England Made Me|He disapproved, he didn't believe in girls drinking, he was full of the conventions of a generation older than himself. Of course one drank oneself, one fornicated, but one didn't lie with a friend's sister, and 'decent' girls were never squiffy.
Joyce Carol Oates, Foxfire: Confessions of a Girl Gang|... because the Legs wasn't fearful of heights or swimming in rough water or Death itself she wasn't afraid to risk making a fool of herself. Maybe you think that's something of no consequence but it isn't - for making a fool of yourself, offering yourself to others to laugh at, to jeer, that takes guts.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|It's futile to point the finger of condemnation and say, "Men... this" or "Women... that". Truth is, we are all guilty and innocent of many of life's trials.
Stephanie Lahart|Respect, Love, and Value yourself. Always remember to be good to yourself by taking care of yourself. Make yourself a priority and know that it’s okay. Don’t feel guilty for loving yourself, first! You’re just as important as anybody else.
ELW-Reta Barnes|The closer you get to know someone, the more you see their true colors.
Anne Brontë|This rose is not so fragrant as a summer flower, but it has stood through hardships none of them could bear: the cold rain of winter has sufficed to nourish it, and its faint sun to warm it; the bleak winds have not blanched it, or broken its stem, and the keen frost has not blighted it. Look, Gilbert, it is still fresh and blooming as a flower can be, with the cold snow even now on its petals.
