Na'ama Yehuda|When hearts speak, they touch each other and transform the deepest sorrow.
Akiroq Brost|Keep going, keep going, keep going! You're going to have crappy days, you're going to have days where you lose vision or confidence. You're going to have those days were everything seems 1 step forward and 3 steps back. You're going to have unexpected chaos and turmoil. Are you going to let that derail you? No. You've made a firm decision to go after your dreams. That firm decision means to keep going no matter what. Life doesn't just stop and nor should you. You know you want something, that you truly want something, if you're willing to endure all the pain and grief along the way. You either make a decision or you don't. If you do, that means sticking by it. Riding it out. Don't give up. All things have good and bad. There is no easy street. Everything good takes work. If you want a better life, you have to work for it. Some days it will be easier work than others. Accept that. Work with it. Keep going!
Akiroq Brost|You're stronger than you think. Even if something pushes you to the breaking point, even if you may need to make a conscious effort to just cope: It's in you, to survive. It may help to break it down into smaller time segments. If you can try to just make it through the next minute, the next five minutes, the next half an hour. With each success, try and lengthen the amount of time. Carry the firm belief in your heart and mind that it will get better. Just that belief is so very strong. Just believing it will get better will have an influence. Sometimes, you'll push through just short spans of time, but as you do, realize that you are capable of doing it. You can do this. Look back at things that you have already gone through in your life and know you survived. You can survive this too. You are so strong. You are just having a challenging moment. It's not forever. You will get to the other side. Believe in yourself. Have faith in yourself. Never give up. It's not an option. Try and ask yourself: "How best can I get through this difficult situation? Is there anything I can do in terms of self-care?" Try to be very gentle with yourself. If you cry, accept it was just something that you needed to do. No judgment. In your most challenging days, make an extra effort to be that friend to yourself, you so need. Please, if you're facing a difficult time at least be nice to yourself. Take it one step at a time. Keep hope and faith alive in your heart. Believe it will get better. Do anything you can to help yourself through in the best way possible. You are stronger than you think.
Tessa Clare, The Divinity Bureau|When you have nothing left, you don’t have anything to lose.
Amber Hurdle, The Bombshell Business Woman: How to Become a Bold, Brave, and Successful Female Entrepreneur|The bottom line is that no matter what you’ve experiencedin life, no matter what kind of trauma you’ve been through,no matter what bad decisions you’ve made, if you accept therealities of your situation, you can properly address them witha plan and with action.
Tessa Clare, The Divinity Bureau|Whatever you do, please don’t do anything reckless. These are very powerful people, some of which are very dangerous.” She hesitates, then continues. “This is a government agency, and you’re just…” She trails off, and I have a feeling that I know what she’s going to say.“I’m just an office assistant,” I mutter, repeating Gideon’s words.“No. I was going to say that you’re too in love with my daughter to think rationally.
Akiroq Brost|It takes a lot of courage to be real and raw, to not hide or pretend, to reveal the real you, the true you. This life is yours, to live as you. Brave the courage.
Mackenzie Lee|It is remarkable how much courage it takes to kiss someone, even when you are almost certain that person would very mush like to be kissed by you. Doubt will knock you from the sky every time.
Fuad Alakbarov|Every country needs its whistleblowers. They are crucial to a healthy society. The employee who, in the public interest, has the independence of judgement and the personal courage to challenge malpractice or illegality is a kind of public hero.
Leigh Bardugo, Wonder Woman: Warbringer|Human courage was different from Amazon bravery. She saw that now. For all the suspicion and derision she'd heard from her mother and her sisters about the mortal world, Diana couldn't help but admire the people with whom she traveled. Their lives were violent, precarious, fragile, but they fought for them anyway, and held to the hope that their brief stay on this earth might count for something. That faith was worth preserving.
Megan Devine, It's Ok That You're Not Ok: Meeting Grief and Loss in a Culture That Doesn't Understand|We need to talk about the hierarchy of grief. You hear it all the time—no grief is worse than any other. I don’t think that’s one bit true. There is a hierarchy of grief. Divorce is not the same as the death of a partner. Death of a grandparent is notthe same as the death of a child. Losing your job is not the same as losing a limb.Here’s the thing: every loss is valid. And every loss is not the same. You can’t flatten the landscape of grief and say thateverything is equal. It isn’t.It’s easier to see when we take it out of the intensely personal: stubbing your toe hurts. It totally hurts. For a moment, the pain can be all-consuming. You might even hobble for a while. Having your foot ripped off by a passingfreight train hurts, too. Differently. The pain lasts longer. The injury needs recovery time, which may be uncertain or complicated. It affects and impacts your life moving forward. You can’t go back to the life you had before you became aone-footed person. No one would say these two injuries are exactly the same.
