Cassandra Clare|I think that's just a story.""But, Jace," she said. "All stories are true.
Suzanna J. Linton, Clara|The flames of the fire leapt up and surrounded her, consuming her, becoming her. Heat filled and flushed her, breaking the bottle and she soared up and up. She came to stand in a sun's center. But that even faded and she rode pillion with Emmerich as he crossed the field on his black battle charger, her hands gripping his sides. The edges of his chain-mail bit into her skin and she could hear his labored breath. She could smell his particular scent: horse and leather, sweat and musk. Men roared like the ocean and rushed like waves to slam against the opposing force meeting them outside the walls.
Suzanna J. Linton, Willows of Fate|The thunder of horses’ hooves grows ever louder, but, still, I do not move. The thunder of those hooves, the thudding of my heart, and the gasping in my lungs make such a cacophony, it’s a wonder I hear Edmund at all.
Suzanna J. Linton, Willows of Fate|Samantha turns toward us as we enter and her mouth drops open. “You.” Pure joy floods her face like sunlight falling through storm clouds, and she runs up to me, laying hands on either side of my face as she gazes deeply into my eyes. “There you are.
J.P.Ashman|Great! I’m addressing the King of Altoln…about who knows what, but I’m at the centre of it and everyone’s looking at me now, oh for all the gods’ sake Falchion, swallow it down and say something damn you.
Suzanna J. Linton, Clara|Gavin scratched his head, idly wondering what his father would tell him right about then. Probably steal the slave and run. Father's solution was always to steal and run. But he had a job to finish.	"All right," he said finally, "here's what we'll do. We'll pretend this night didn't happen." 	That earned another sarcastic look.
Suzanna J. Linton, Clara|Before she could let herself think, Clara burst from the door and bolted for the table. People just began turning when she grasped the guest and shoved him to the ground, the chair flying backwards. Wine and food spilled everywhere as he flung out his arms. For a moment, she felt a swift pressure, as if her hair was being pulled, before strong hands gripped her, flinging her to the floor. A boot pressed into her back and she felt the cold tip of blade on her neck above her slave's collar.
Suzanna J. Linton, Clara|Emmerich's heart in his throat, he could only stare down at Monica, who looked up at him with glassy eyes as she shivered with pain and choked on blood.
Suzanna J. Linton, Clara|Oh-ho, so you are a witch. More like a witchling, as you're too small to be a full witch.” (Emmerich)
T.T. Faulkner, The Lost Memory|If I'd learned anything, it was that the gods never had good news - especially when it was delivered by the resurrected corpse of your worst enemy.
Neil Gaiman, The Kindly Ones|Have you ever been in love? Horrible, isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up. You build up all these defenses. You build up this whole armor, for years, so nothing can hurt you, then one stupid person, no different from any other stupid person, wanders into your stupid life… You give them a piece of you. They don't ask for it. They do something dumb one day like kiss you, or smile at you, and then your life isn't your own anymore. Love takes hostages. It gets inside you. It eats you out and leaves you crying in the darkness, so a simple phrase like "maybe we should just be friends" or "how very perceptive" turns into a glass splinter working its way into your heart. It hurts. Not just in the imagination. Not just in the mind. It's a soul-hurt, a body-hurt, a real gets-inside-you-and-rips-you-apart pain. Nothing should be able to do that. Especially not love. I hate love.
Morgan Rhodes|She was murdered by rebels.' He took in her unconcealed look of shock. 'So there you go. Something for you to celebrate.' Magnus turned away from her, ready to find solace in his chambers, but the princess grabbed his arm to stop him. He sent a dark look at her over his shoulder. 'I would never celebrate death, no matter whose it is,' she said, her gaze filled with anger and something else. Something that looked vaguely like sympathy. 'Come now, I'm sure you wouldn't mourn any Damora.' 'I know very well what it's like to lose a parent in a tragic way.' 'Oh, yes, we have so much in common. Maybe we should get married.
Ursula K. Le Guin, The Tombs of Atuan|Am I supposed to feel so much awe and so on about the Godking? After all, he's just a man ... He's about fifty years old, and he's bald. And I'll bet he has to cut his toenails too like any other man. I know perfectly well he's a god, too. But what I think is, he'll be much godlier after he's dead.
Ursula K. Le Guin, The Farthest Shore|Would you give up the craft of your hands, and the passion of your heart, and the hunger of your mind, to buy safety?
Robert Walser, Jakob von Gunten|I feel how little it concerns me, everything that’s called "the world," and how grand and exciting what I privately call the world is to me.
Kaoru Kurimoto, The Leopard Mask|It was as if he had two faces, one of utmost calm, one of furious action; and he wore both with ease. He was like the animal whose face he wore, able to sit in silence for hours, without moving a muscle, then flying like a raging storm into battle, returning again to perfect calm when the fight was over.
Brandon Mull, Rise of the Evening Star|Can you see the power emotion has to distort out outlook? Makes you wonder, did you have a bad day, or did you make it a bad day?
Kathryn Fogleman, Tales of the Wovlen: The Dragon' Son|Humans have reason to hate us dragons. If one dragon turns against humankind, he is a great and terrible foe.
D.B. Nielsen, Seed|We are exiles in Time's abyss, strangers now in the Promised Land.
Sharman Apt Russell, Teresa of the New World|The women in the kitchen sang: Sarampión toca la puerta. Viruela dice: ¿Quién es? Y Escarlatina contesta: ¡Aquí estamos los tres! The cook would sometimes shout a little madly, “Sing it again!” And the women would sing again: Measles knocks at the door. Smallpox asks, Who’s there? And Scarlet Fever replies: All three of us are here!
Todd Vickers, The Relevance of Kabir|Our sexual fantasies are often redundant and intense, like many other ideas involving ourselves. Most people approach sexuality limited to the idea that they should imitate other people, art (e.g., romantic literature) or movies (e.g., pornography). In this way, vicarious events and even fictions become a point of reference that we can actually feel. We judge actual people in our real lives against fictional events and unrealistic concepts. As such, real lovers seem inferior as a result.
