Santosh Kalwar|Born to be wild; born to be free; nobody owns you; you are, a romantic tree.
Kristen Ashley, Rock Chick Redemption|She nodded, grabbed her purse out of the drawer and skedaddled, walking like she was on a catwalk, one foot in front of the other, her ass swaying under the skirt of her expensive, tailored suit.Bitch. I thought again, watching her go.“No comparison,” Luke said after the door closed behind Dawn and I turned to him.“Excuse me?”“Dawn’s a man eater. You’re not. No comparison,” Luke answered and I didn’t know how to take that.“Is that good?”The half-smile came back.“Most men prefer to do the eating.”Holy fucking cow.
Deborah Harkness, A Discovery of Witches|My ideas about vampires may be romantic, but your attitudes toward women need a major overhaul.
Lia Habel, Dearly, Departed|No, not really. But …” Okay, I couldn’t help but gloat a little. “She likes me.”Samedi didn’t even look at me. “Well of course, you’ve had that bloody uniform on all day. I was half ready to tell you how much I liked you.
Liz Reinhardt, Double Clutch|Are you going to kiss me?" I blabbered stupidly."I'm working up the nerve," he said softly.
Rainbow Rowell, Fangirl|When she opened her door, Levi was sitting in the hallway, his legs bent in front of him, hunched forward on his knees. He looked up when she stepped out.“I’m such an idiot,” he said.Cath fell between his knees and hugged him.“I can’t believe I said that,” he said. “I can’t even go nine hours without seeing you.
H.L. Mencken|No matter how happily a woman may be married, it always pleases her to discover that there is a nice man who wishes that she were not.
Ann Aguirre, Grimspace|I’m not a woman you bring home to Mother, pick out china patterns with, or Mary forefend, breed. I’ve seen a chunk of the universe, true, but there’s still so much more to see. I doubt I’ll ever cure this wanderlust, and I’m content with dedicating my life to failing to sate it... He’s never going to sit at my feet and write me poems, which is good because I hate poetry, except dirty ones that rhyme.
Gordon Korman, One False Note|Nellie grinned. "I always wanted to go to Venice. It's supposed to be the romance capital of the world.""Sweet," put in Dan. "Too bad your date is an Egyptian Mau on a hunger strike."The au pair sighed. "Better than an eleven-year-old with a big mouth.
Sarah MacLean, The Season|You realize that is you allow me to court you, all your opposition to marriage is going to have to be reconsidered."She smiled, feigning innocence."What opposition to marriage?""Excellent.""But I'm thinking we should have a long courtship.""Why?" He looked surprised."Because i find I've developed a taste for adventure.""That sounds dangerous. Not at all in character for a delicate flower."She laughed." We know I've never been good at being a delicate flower. Besides, it shan't be too dangerous.""How can you be so sure?"She smiled brilliantly at him, taking his breath away."Because, on my next adventure, I'll have you by my side.
Melissa Marr, Darkest Mercy|Will you be my forever, Donia?
Sarah Mayberry, Her Best Friend|You realise you’re going to owe me dinner after this, right?”“How does McDonald’s sound?”“Inadequate.
Kailin Gow, Silver Frost|We are meant to be.” He pressed his lips to mine again; against myself, against my worry, I once again succumbed to the power of his kiss. “I know that now. Our love is stronger than magic, stronger than the laws of all Feyland. It will survive this...whatever the future brings.” - Prince Kian, Silver Frost.
Julia Quinn, To Catch an Heiress|Blake took a small roll from the tray on the table, then put it back in favor of a larger one. And maybe a little butter. It certainly couldn't hurt. And jam...no, he drew the line at jam. She was a spy, after all.
Wendy Higgins, Sweet Evil|Patti told me that to truly love someone, you must hold them in an open hand. That was how I needed to love Kai. It was necessary to uncurl my fingers and let him go.
Georgette Heyer, These Old Shades|My house seems remarkably full of people," he observed. "Is it possible we were expected.
Nora Roberts, The Reef|I'm not asking you for a second chance. I know better than that. But you've got no right to ask me to settle for sex then expect me to give up the one thing that's kept me going. I gave you up, now I'm taking what's left.”“You didn't give me up,” she tossed back. “You never wanted me.”“I never wanted anything the way I wanted you. I loved you.” He dragged her painfully to her toes. “I've always loved you. I cut my own heart out when I sent you away.
Siobhan Vivian, Not That Kind of Girl|You're the one who made it seem like we were doing something wrong. Maybe you still feel like that, because for whatever reason, you think I'm not good enough for you. But I like you, okay? I've liked you from the very beginning.""It was never going anywhere""Because you wouldn't let it go anywhere.
Adam Silvera, History Is All You Left Me|Every universe I’ve created lately, your face keeps popping up in it. And I thought that if you can’t be cool with that, then I wouldn’t hate you, but I might need some time for myself until we’ve had enough distance that I can imagine made-up worlds without you automatically appearing.
Maya Banks, The Darkest Hour|Never be afraid to tell me anything,” he whispered against her hair. “No matter how ashamed you might feel. I’ll never judge you, Rachel. I love you.
Elizabeth Gilbert, Eat, Pray, Love|There’s a part of me which has always wanted to hear a man say, "Let me take care of you forever," and I have never heard it spoken before. Over the last few years, I’d given up looking for that person, learned how to say this heartening sentence to myself, especially in times of fear. But to hear it from someone else now, from someone who is speaking sincerely...
