Vincent van Gogh, Van Gogh's Starry Night Notebook|For my part I know nothing with any certainty, but the sight of the stars makes me want to dream.
Lucas Remmerswaal, 13 Habits.com the Tale of Tortoise Buffett and Trader Hare|Warren Buffett chuckled and said to me "I hope it's not my bad habits" Good Habits once established are just as hard to break as bad habits and bad habits are easier to abandon today than tomorrow. So what are you going to do about it?
Paulo Coelho, Veronika Decides to Die|In a few more days I'd anticipated telling Veronika that our injections had cured her heart condition. But in light of her unscheduled departure form Villette my telling that particular lie will not be required. The majority of people who attempt suicide repeat that attempt until they succeed. I took a risk in lying to her about her condition, i decided to test the only remedy i have come to have any faith in: awareness of life. Until she finds out from some other doctor that she is perfectly healthy. She'll consider each day a miracle. Which in my view it is.
Lucas Remmerswaal, The A-Z of 13 Habits: Inspired by Warren Buffett|Think outside the square. Think for yourself don't just follow the herd. Think multidisciplinary! Problems by definition, cross many academic disciplines.
J.R.R. Tolkien, The Return of the King|I can manage," said Frodo. "I must.
Daniel Gottlieb, Letters to Sam: A Grandfather's Lessons on Love, Loss, and the Gifts of Life|When we stop fighting against death, we are able to wake up to our lives.
Leonard Seet|More than once, the broken moon would cast through the window a silver light and remind me of independent events yielding to their own momentum and interacting under natural laws while my mind would impose happiness, grief, beauty, ruin, justice and chaos.
John Grisham, La tapadera|love yourself,.,.,.,for the sake of  your better future
Flavia|Cut not the wings of your dreams, for they are the heartbeat and the freedom of your soul.
Dew Platt, Failure&solitude|During the crash and burn, I began to burn from cranial crown to flat sole, for meaning and understanding. Every concept, psychological perceptions with hardened pathways, everything that registered as inherited from the communal was starting to dissolve into meaninglessness. The foundational tenets, the pre-established belief systems, instilled sustenance systems tended by both family and extended communal began to dissolve, first as trivial, and then as untenable to my being without validation from me. If my life was worth anything, I choose to live the best life for me. So I entered what I call The Blank State.
Lucas Remmerswaal, The A-Z of 13 Habits: Inspired by Warren Buffett|X is for X-mas Concentrate your energies, your thoughts and your capital. Put all your eggs in one basket and then watch that basket, then all your Christmases can come at once!
Kimberly McRae, Living by Faith: Beginning Your Walk as a New Believer|The importance of knowing for certain that you have been saved cannot be understated. We do not know how many days, hours, or minutes God has granted us here to have an opportunity to make a choice.
Jeffrey Rasley|To prepare for the mountains develop mind, body, will and spirit as strong as a sword, soft as a pillow and fluid as water.
A. Vaidyanathan|word is like a sword; you should be wise when to use it or it'll kill and ruin everything you did in your past, you're doing at this time, and you're gonna do in the future
Bessie Anderson Stanley|Live well, Laugh often, Love much.
Marilyn Suttle, Who's Your Gladys?: How to Turn Even the Most Difficult Customer Into Your Biggest Fan|For every dilemma, find at least three or four possible solutions. The creative process leads to better results.
Stephanie Lahart|Above everything else, genuinely love yourself first. Self-love is powerful and it’s the best love that you will ever have. When you love who YOU are, your relationships will be healthier and your life will be happier. Self-love sets the standard in how we allow others to treat us and how we treat ourselves. Your happiness and well-being is important. Protect it by always valuing who you are!
Willard Van Orman Quine|Life is agid, life is fulgid. Life is what the least of us make most of us feel the least of us make the most of. Life is a burgeoning, a quickening of the dim primordial urge in the murky wastes of time.
Deborah Brodie, The Path That Gets Brighter: A Devotional to Instruct, Illustrate, and Encourage Kingdom Principles|When you make the dream of your heart a treasure of heaven, it holds an eternal value.
