Tapan Ghosh, Faceless The Only Way Out|Death is an illusion, Love is not!
Matshona Dhliwayo|You spend the beginning part of your life with your mother, so love her; the middle part of your life with your girlfriend, so care for her; and the end part of your life with your wife, so adore her.
Matshona Dhliwayo|When love writes a letter, joy is its ink.
Matshona Dhliwayo|If your soul mate comes with too much baggage, help her unpack it.
Matshona Dhliwayo|Learn from the sun; it is warm to everyone, and is therefore never in short supply of those who adore it.
Nikki Rowe|You know who you are, he said- that intimidates boys but oneday a man will come along and value that exact part in you. - Wise words from my best friend.
Carlos Wallace, The Other 99 T.Y.M.E.S: Train Your Mind to Enjoy Serenity|Love is a two-way street, but not everyone deserves a license.
Matshona Dhliwayo|A woman’s elegance will charm you for days,her beauty will charm you for weeks,her grace will charm you for years,and her virtue will charm you for a lifetime.
Matshona Dhliwayo|If you kiss her cheeks, she is your friend; if you kiss her lips, she is your lover; if you kiss her heart, she is your soul mate.
Matshona Dhliwayo|The greatest warriors fight not for crowns and splendor, but for love.
Carlos Wallace, The Other 99 T.Y.M.E.S: Train Your Mind to Enjoy Serenity|Connect with someone on a deeper level…mentally, spiritually, emotionally…and your soul will transcend the height of ecstasy.
Carlos Wallace, The Other 99 T.Y.M.E.S: Train Your Mind to Enjoy Serenity|To be fearlessly vulnerable with someone…One of the deepest, most desirable paradoxes of love.
Val Uchendu|Love is everything, love is God in us. Love what you do, those you do it for, love others and yourself. Love is the key to success, prosperity and happiness. Give love always and you'll never lack love.
Ernest Agyemang Yeboah|When a man meets the right woman, he meets a new strength!
Lorri Faye|The best relationships are simple. No lies, no cheating, simply two people that will always be there for each other nomatter what.
Matshona Dhliwayo|Love conquers the body by embracing it,conquers the mind by massaging it,conquers the heart by kissing it,and conquers the soul by marrying it.
Matshona Dhliwayo|Though love may be blind, it sees much;though it may be deaf, it hears much;though it may be mute, it says much;and though it may be lame, it does much.
Robin Talley, Our Own Private Universe|The only thing I know for sure is that this summer, I want to be with you. Sometimes I wish I could make everything else go away and have it only be you and me in our own little world.
Jasleen Kaur Gumber|I don’t have any fancy story,about the way we fell in love.It was that one awkward move,and the next I remember, I was looking at you.I don’t have any fancy allegory,about how we decided to marry,It was over the deck of that cruise,that you made an awkward move,And the next I remember, I conceived in your eye,some purer truth,and I was looking at you.I don’t have any fancy history,about how I know you so deeply,It always was that one awkward move,which I have trusted to pursue.Who said lovers are complex?All you need is their,one awkward move.Their soul in an instant,is engulfed,In that one tick of drool.That’s all what love is,that one awkward move,which is only meant only for you.
Corey Ann Haydu, The Careful Undressing of Love|Love is insanity, apparently.
Ioana-Cristina Casapu|If people want to believe in Hollywood movies, let them believe in Hollywood movies. Being romantic is not a disease.
Ioana-Cristina Casapu|While the world has found the right names for all chronic mental diseases, I believe poetry is also a brain dysfunction, yet the only one that owns itself the mastery for the cure. Isn’t it lovely to say, “He/She suffers of Poetry?”.
Khuliso Mamathoni, The Greatest Proposal|Love cannot exist without giving, however giving can exist without love.
Georgia Clark, The Regulars|Her mouth connected with his. Everything inside her collapsed and was constructed, simultaneously.
Khuliso Mamathoni, The Greatest Proposal|Love and pride will never dwell together, never ! Do not fool yourself, God and the devil will never share the same space. Therefore, drop your pride and experience love.
Corey Ann Haydu, The Careful Undressing of Love|It sounds like love just sort of happens, whether you want it to or not, whether you’re married or not.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|The only kind of love to be found, is within you. That other kind everybody wants... it finds you.
Adhish Mazumder, Solemn Tales of Human Hearts|The more silent you are at bed during times of crisis, the more are the chances of an amicable, dignified and a not so counterproductive interchange of romantic exuberance.
Val Uchendu|Roses have thorns,’ we whine. When thorns of life entwine. Simple things can bring solace to heart-Things everyone take for granted-Like tending beds of fragile roses-with heart full of scars
Jonathan Anthony Burkett|Learn, Teach, Love, Experience and Grow. That's what I know about this life we live.
S. Jae-Jones, Wintersong|A wanton women is ripened fruit,' Constanze intoned,'begging to be plucked by the Goblin King.
Matshona Dhliwayo|Falling in love is accidental, staying in love is intentional, and growing in love is delightful.
SV|I need someone who knows to enjoy life. Someone who'll get high with me at the Pere - Lechaise cemetery. Someone who'll lose their breath running trough the Louvre. Someone who'll go to coffee with a good book ( Fyodor Dostoyevsky, L. Tolstoy, Voltaire, A. Camus, Oscar Wilde, Gustave Flaubert ). During the weekends to the cafe de Flore, and after that lunch at Ritz. Someone who'll get lost in Paris in the middle of the night. Someone who'll lay beside Seine, drink wine and listen to Florence and Machine, Banks, Borns, Hurts, Bjork, Tom Odelle... Someone who can sit in front of S.Dali's paintings for hours and not talk. Someone who wants to live. Someone who wants to travel and see the world. Someone who'll look at the stars for hours, talk about life, someone who is not afraid of death.
