Sandra Steffen, Come Summer|I read once that sorrow looks back, worry looks around, and faith looks ahead.
Steve Maraboli, Life, the Truth, and Being Free|The best way to succeed is to have a specific Intent, a clear Vision, a plan of Action, and the ability to maintain Clarity. Those are the Four Pillars of Success. It never fails!
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|I promise you nothing is as chaotic as it seems. Nothing is worth diminishing your health. Nothing is worth poisoning yourself into stress, anxiety, and fear.
Steve Maraboli, Life, the Truth, and Being Free|If you intend to change, decide what you want and live your life accordingly.
Victoria Erickson|Although I deeply love oceans, deserts and other wild landscapes, it is only mountains that beckon me with that sort of painful magnetic pull to walk deeper and deeper into their beauty. They keep me continuously wanting to know more, feel more, see more.
Steve Maraboli, The Power of One|How would your life be different if...You were conscious about the food you ate, the people you surround yourself with, and the media you watch, listen to, or read? Let today be the day...You pay attention to what you feed your mind, your body, and your life. Create a nourishing environment conducive to your growth and well-being today.
Mark  Manson, The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life|Because when we give too many fucks, when we choose to give a fuck about everything, then we feel as though we are perpetually entitled to feel comfortable and happy at all times, that’s when life fucks us.
Franz Kafka, The Castle|If a man has his eyes bound, you can encourage him as much as you like to stare through the bandage, but he'll never see anything.
Steve Maraboli, Life, the Truth, and Being Free|Don't be one of those who don't want others to be empowered. Share information. Try to make the next person, smarter.
Stephen Richards, Think Your way to Success: Let Your Dreams Run Free|Without desires and dreams, your thoughts do not matter and you can think whatever you want to.
Leo Buscaglia|Too often we underestimate the power of a touch, a smile, a kind word, a listening ear, an honest accomplishment, or the smallest act of caring, all of which have the potential to turn a life around.
Henry Ford|If everyone is moving forward together, then success takes care of itself.
Edmund Hillary, High Adventure|You don't have to be a hero to accomplish great things---to compete. You can just be an ordinary chap, sufficiently motivated to reach challenging goals.
Shannon L. Alder|The problem isn’t that I think so highly of myself. It is just that you think so little of yourself. Live life BIG, BOLD and OUT LOUD!
Zig Ziglar|It's not what you've got, it's what you use that makes a difference.
Brian Tracy, Focal Point: A Proven System to Simplify Your Life, Double Your Productivity, and Achieve All Your Goals|You are where you are and what you are because of yourself, nothing else. Nature is neutral. Nature doesn't care. If you do what other successful people do, you will enjoy the same results and rewards that they do. And if you don't, you won't.
Arnold Henry|Your limits are somewhere up there, waiting for you to reach beyond infinity.
Stephen Richards, Think Your way to Success: Let Your Dreams Run Free|Once we open our eyes to the infinite magic that the universe has in abundance, we are sure to be enthralled by what we see and this miraculous creation gets us closer to our dreams and to the world as a whole.
Jennifer DeLucy|We have come here together so that you might know, through virtue of your own pain, your own hopelessness, your own fear, your own darkness and the lie of powerlessness, the very actual power of your own will, of the will of your soul.
